required_skills,candidate_skills,degree,years_experience,overlap,fit,probability,missing_skills
"docker, excel, linux, r, rest, tensorflow","aws, airflow, etl, hadoop, typescript",2.0,0.9,0.0,0.0,0.237,"docker, excel, linux, r, rest, tensorflow"
"ci/cd, docker, flask, javascript, kubernetes, node.js, python, react","kubernetes, numpy, python, spark",2.0,1.9,2.0,1.0,0.467,"ci/cd, docker, flask, javascript, node.js, react"
"django, node.js, pytorch, react, sql, tensorflow","django, git, kubernetes, node.js, numpy, react, tableau",2.0,2.5,3.0,1.0,0.585,"pytorch, sql, tensorflow"
"docker, etl, flask, python, rest, tensorflow, typescript","aws, excel, hadoop, pytorch, r",1.0,2.7,0.0,0.0,0.231,"docker, etl, flask, python, rest, tensorflow, typescript"
"airflow, docker, kubernetes, pandas, r","docker, graphql, pytorch, rest, sql",1.0,4.9,1.0,1.0,0.397,"airflow, kubernetes, pandas, r"
"etl, flask, gcp, git, java, javascript, scikit-learn","flask, kubernetes, rest, scikit-learn",3.0,2.5,2.0,1.0,0.485,"etl, gcp, git, java, javascript"
"django, etl, hadoop, javascript, sql, spark","aws, airflow, docker, flask, gcp, hadoop, linux, python",1.0,3.2,1.0,1.0,0.346,"django, etl, javascript, sql, spark"
"excel, kubernetes, linux, pytorch, rest, typescript","aws, django, docker, git, graphql, pandas, pytorch, react, sql, scikit-learn",1.0,3.8,1.0,0.0,0.364,"excel, kubernetes, linux, rest, typescript"
"airflow, etl, gcp, node.js, python","aws, airflow, r, spark, tensorflow, typescript",2.0,2.7,1.0,1.0,0.391,"etl, gcp, node.js, python"
"airflow, excel, git, node.js, python, tensorflow","aws, airflow, docker, java, kubernetes, linux, numpy, power bi, sql",1.0,2.4,1.0,0.0,0.322,"excel, git, node.js, python, tensorflow"
"docker, linux, pandas, r, tableau","django, docker, etl, excel, gcp, git, python, rest, tableau",1.0,4.5,2.0,0.0,0.485,"linux, pandas, r"
"linux, node.js, pytorch, r, scikit-learn, tableau","docker, hadoop, kubernetes, linux, pandas",2.0,0.0,1.0,0.0,0.31,"node.js, pytorch, r, scikit-learn, tableau"
"docker, flask, graphql, hadoop, kubernetes, numpy, pytorch, spark","django, gcp, hadoop, pandas",2.0,7.6,1.0,1.0,0.538,"docker, flask, graphql, kubernetes, numpy, pytorch, spark"
"azure, flask, linux, numpy, power bi, python, tensorflow","django, flask, git, pandas, r, rest, tensorflow",1.0,5.4,2.0,0.0,0.512,"azure, linux, numpy, power bi, python"
"etl, excel, git, javascript, kubernetes, power bi, rest","ci/cd, django, git, hadoop, r, rest, spark, tableau, tensorflow, typescript",1.0,5.1,2.0,0.0,0.503,"etl, excel, javascript, kubernetes, power bi"
"azure, docker, etl, javascript, pytorch, sql, tensorflow","etl, excel, flask, graphql, javascript, linux, pytorch, react, tableau",1.0,5.8,3.0,0.0,0.624,"azure, docker, sql, tensorflow"
"aws, azure, docker, graphql, java, kubernetes","etl, graphql, numpy, pandas, python, spark",2.0,1.0,1.0,0.0,0.34,"aws, azure, docker, java, kubernetes"
"etl, graphql, java, numpy, typescript","etl, hadoop, linux, pytorch, rest, sql, scikit-learn, typescript",1.0,4.9,2.0,0.0,0.497,"graphql, java, numpy"
"aws, etl, gcp, kubernetes, tableau","aws, airflow, django, excel, git, pytorch, rest, spark",1.0,2.4,1.0,0.0,0.322,"etl, gcp, kubernetes, tableau"
